ref_number,disclosure_group,title_en,title_fr,name,purpose_en,purpose_fr,start_date,end_date,destination_en,destination_fr,airfare,other_transport,lodging,meals,other_expenses,total,additional_comments_en,additional_comments_fr,owner_org,owner_org_title
T-2020-P1-0001,SLE,Chair,Président,"Bérubé, Paul-Claude",Meeting with Chief Executive Officer of Accessibility Stadards Canada,Réunion avec le Président-directeur général de Normes d’accessibilité Canada ,2020-02-19,2020-02-19,"Montreal, Quebec, Canada","Montréal, Québec, Canada",,62.06,0,20.6,,82.66,,,casdo-ocena,Accessibility Standards Canada | Normes d’accessibilité Canada
T-2020-P1-0002,SLE,Chair,Président,"Bérubé, Paul-Claude",Meeting with Chief Executive Officer and Staff of of Accessibility Stadards Canada,Réunion avec le Président-directeur général et employés de Normes d’accessibilité Canada ,2020-02-24,2020-02-24,"Ottawa, Ontario, Canada","Ottawa, Ontario, Canada",,276.06,0,91.5,,367.56,,,casdo-ocena,Accessibility Standards Canada | Normes d’accessibilité Canada
T-2020-P1-0003,SLE,Chief Executive Officer,Président-directeur général,"Rizcallah, Philip",Meetings with various Stakeholders,Réunions avec divers intervenants,2020-01-21,2020-01-25,"Toronto, Ontario and Halifax, Nova Scotia, Canada","Toronto, Ontario et Halifax, Nouvelle-Écosse, Canada",1190.86,359.36,344.73,394.25,172.2,2461.4,,,casdo-ocena,Accessibility Standards Canada | Normes d’accessibilité Canada
T-2020-P2-0001,SLE,Chief Executive Officer,Président-directeur général,"Rizcallah, Philip",To attend Canadian Accessibility Standards Development Organization business meetings,Pour assister des réunions d'affaire de l'Organisation Canadienne d'élaboration de normes d'accessibilité,2020-03-10,2020-03-10,"Montréal, Quebec, Canada","Montréal, Québec, Canada",0,339.57,0,71.15,3.2,413.92,,,casdo-ocena,Accessibility Standards Canada | Normes d’accessibilité Canada
T-2020-P2-0002,SLE,Chief Executive Officer,Président-directeur général,"Rizcallah, Philip",To attend meeting with Chair and Chief Operating Officer,Pour assister à une réunion avec le Président et le Chef de l’exploitation,2020-02-19,2020-02-19,"Montréal, Quebec, Canada","Montréal, Québec, Canada",0,267.25,0,20.6,0,287.85,,,casdo-ocena,Accessibility Standards Canada | Normes d’accessibilité Canada
T-2020-P2-0003,SLE,Chief Executive Officer,Président-directeur général,"Rizcallah, Philip",To attend meeting with Chair,Pour assister à une réunion avec le Président,2020-02-06,2020-02-07,"Saint-Jean-sur-Richelieu, Quebec, Canada","Saint-Jean-sur-Richelieu, Québec, Canada",0,315.28,0,91.5,3.2,409.98,,,casdo-ocena,Accessibility Standards Canada | Normes d’accessibilité Canada
T-2020-P2-0004,SLE,Chair,Président,"Bérubé, Paul-Claude",To attend meeting with Canadian Accessibility Standards Development Organization Chief Executive Officer and Vice-chair,Pour assister à une réunion avec le Directeur général et le Vice-Président du Conseil d'administration de l'Organisation Canadienne d'élaboration de normes d'accessibilité,2020-01-28,2020-01-28,"Ottawa, Ontario, Canada","Ottawa, Ontario, Canada",0,563.09,0,20.6,0,583.69,,,casdo-ocena,Accessibility Standards Canada | Normes d’accessibilité Canada
T-2020-P2-0005,SLE,Chair,Président,"Bérubé, Paul-Claude",Physical presence required for Canadian Accessibility Standards Development Organization board members meeting,Participer à la réunion du conseil d'administration de l'Organisation canadienne d'élaboration de normes d'accessibilité,2020-01-21,2020-01-21,"Ottawa, Ontario, Canada","Ottawa, Ontario, Canada",0,440.71,0,20.6,0,461.31,,,casdo-ocena,Accessibility Standards Canada | Normes d’accessibilité Canada
T-2020-P2-0006,SLE,Vice Chair,Vice-Présidente,"Reid, Mary",To attend meeting with Canadian Accessibility Standards Development Organization Chief Executive Officer and Chair,Pour assister à une réunion avec le Directeur général du Conseil d'administration et le président de l'Organisation Canadienne d'élaboration de normes d'accessibilité,2020-03-09,2020-03-10,"Montréal, Quebec, Canada","Montréal, Québec, Canada",1278.66,32,50,112.1,0,1472.76,,,casdo-ocena,Accessibility Standards Canada | Normes d’accessibilité Canada
T-2020-P2-0007,SLE,Vice Chair,Vice-Présidente,"Reid, Mary",To attend meeting with Canadian Accessibility Standards Development Organization Chief Executive Officer,Pour assister à une réunion avec le Directeur général du Conseil d'administration de l'Organisation Canadienne d'élaboration de normes d'accessibilité,2020-01-19,2020-01-20,"Ottawa, Ontario, Canada","Ottawa, Ontario, Canada",1210.74,70.25,269.12,197.25,0,1747.36,,,casdo-ocena,Accessibility Standards Canada | Normes d’accessibilité Canada
T-2020-P2-0008,SLE,Board Of Directors,Membre du conseil d'administration,"Adair, William",Physical presence required for Canadian Accessibility Standards Development Organization board members meeting,Participer à la réunion du conseil d'administration de l'Organisation canadienne d'élaboration de normes d'accessibilité,2020-02-09,2020-02-12,"Vancouver, British Columbia, Canada","Vancouver, Colombie-Britannique, Canada",894.55,163.15,630.99,353.05,0,2041.74,,,casdo-ocena,Accessibility Standards Canada | Normes d’accessibilité Canada
T-2022-P5-0001,SLE,Chief Executive Officer,Président-directeur général,"Rizcallah, Philip",Meeting with Government of Quebec ,Réunion avec le gouvernement du Québec,2021-11-18,2021-11-19,"Brossard, Quebec, Canada","Brossard, Québec, Canada",0,324.3,177.31,183.55,11.6,696.76,,,casdo-ocena,Accessibility Standards Canada | Normes d’accessibilité Canada
T-2022-P5-0002,SLE,Chief Executive Officer,Président-directeur général,"Rizcallah, Philip",Meeting with the Office des personnes handicapées du Québec,Réunion avec l'Office des personnes handicapées du Québec,2021-12-15,2021-12-16,"Québec, Quebec, Canada","Québec, Québec, Canada",811.86,235.12,154.7,226.5,0,1428.18,,,casdo-ocena,Accessibility Standards Canada | Normes d’accessibilité Canada
T-2022-P5-0004,SLE,Chief Executive Officer,Président-directeur général,"Rizcallah, Philip",Stakeholder meetings in Atlantic Canada,Réunions avec parties prenantes,2022-02-12,2022-02-23,"St. John's, NL","St. John's, TN",1095.53,304.61,553.43,884.65,253.04,3091.26,,,casdo-ocena,Accessibility Standards Canada | Normes d’accessibilité Canada
T-2022-P5-0005,SLE,Chief Executive Officer,Président-directeur général,"Rizcallah, Philip",Meeting with Legislative Assembly of New Brunswick,Réunion avec l'Assemblée législative due Nouveau-Brunswick,2022-02-28,2022-03-01,"Fredericton, NB","Fredericton, NB",817.28,237.17,151.17,205.15,0,1410.77,,,casdo-ocena,Accessibility Standards Canada | Normes d’accessibilité Canada
T-2023-P2-0001,SLE,Chief Executive Officer,Président-directeur général,"Rizcallah, Philip",Stakeholder meetings in Toronto,Réunions avec des parties prenantes à Toronto,2022-04-07,2022-04-09,"Toronto, Ontario, Canada","Toronto, Ontario, Canada",721.22,193.16,491.24,292.85,,1698.47,,,casdo-ocena,Accessibility Standards Canada | Normes d’accessibilité Canada
T-2023-P3-0001,SLE,Chief Executive Officer,Président-directeur général,"Rizcallah, Philip",Stakeholder meetings in Halifax,Réunions avec des parties prenantes à Halifax,2022-04-12,2022-04-17,"Halifax, Nova Scotia, Canada","Halifax, Nouvelle-Ecosse, Canada",651.37,279.34,594.72,342.4,14.27,1882.1,,,casdo-ocena,Accessibility Standards Canada | Normes d’accessibilité Canada
T-2023-P3-0002,SLE,Chief Executive Officer,Président-directeur général,"Rizcallah, Philip",Stakeholder meetings in Edmonton,Réunions avec des parties prenantes en Edmonton,2022-04-26,2022-04-28,"Edmonton, Alberta","Edmonton, Alberta",1504.7,205.31,334.56,347.25,0,2391.82,,,casdo-ocena,Accessibility Standards Canada | Normes d’accessibilité Canada
T-2023-P3-0003,SLE,Chief Executive Officer,Président-directeur général,"Rizcallah, Philip",Stakeholder meetings in Victoria and Vancouver,Réunions avec des parties prenantes à Victoria et Vancouver,2022-05-23,2022-05-26,"Victoria and Vancouver, British Columbia, Canada","Victoria et Vancouver, Colombie-Britannique",1818.5,691.09,900.59,463,0,3873.18,,,casdo-ocena,Accessibility Standards Canada | Normes d’accessibilité Canada
T-2023-P4-0001,SLE,Chief Executive Officer,Président-directeur général,"Rizcallah, Philip",Stakeholder meetings in Moncton,Réunions avec des parties prenantes à Moncton,2022-06-21,2022-06-22,"Moncton, New Brunswick, Canada","Moncton, Nouveau Brunswick, Canada",986.9,182.9,141.55,231.5,0,1542.85,,,casdo-ocena,Accessibility Standards Canada | Normes d’accessibilité Canada
T-2023-P4-0002,SLE,Chief Executive Officer,Président-directeur général,"Rizcallah, Philip",Stakeholder meetings in Toronto,Réunions avec des parties prenantes en Toronto,2022-06-23,2022-06-24,"Toronto, Ontario, Canada","Toronto, Ontario, Canada",0,665.2,404.27,231.5,23.73,1324.7,,,casdo-ocena,Accessibility Standards Canada | Normes d’accessibilité Canada
T-2023-P5-0001,SLE,Chief Executive Officer,Président-directeur général,"Rizcallah, Philip",CACP CIPH Annual Meeting,Réunion annuelle CACP CIPH,2022-08-14,2022-08-17,"Halifax, Nova Scotia, Canada","Halifax, Nouvelle Ecosse, Canada",698.64,278.92,443.4,468.95,0,1889.91,,,casdo-ocena,Accessibility Standards Canada | Normes d’accessibilité Canada
T-2023-P5-0002,SLE,Chief Executive Officer,Président-directeur général,"Rizcallah, Philip",Standard and training review,Formation des normes,2022-08-25,2022-08-27,"Peterborough, Ontario, Canada","Peterborough, Ontario, Canada",0,336.6,369.75,270.95,0,977.3,,,casdo-ocena,Accessibility Standards Canada | Normes d’accessibilité Canada
T-2023-P5-0003,SLE,Chair,Président,"Bérubé, Paul-Claude",Meeting with CEO,Réunion avec PDG,2022-07-27,2022-07-27,"Brossard, Quebec, Canada","Brossard, Québec, Canada",0,41.25,0,22.15,0,63.4,,,casdo-ocena,Accessibility Standards Canada | Normes d’accessibilité Canada
T-2023-P5-0004,SLE,Chair,Président,"Bérubé, Paul-Claude",Meeting with Vie Autonome,Réunion avec Vie Autonome,2022-08-06,2022-08-06,"Val d'Or, Quebec, Canada","Val d'Or, Québec, Canada",1633.64,108.7,0,98.45,0,1840.79,,,casdo-ocena,Accessibility Standards Canada | Normes d’accessibilité Canada
T-2023-P5-0005,SLE,Chair,Président,"Bérubé, Paul-Claude",Meeting with CEO and co-Chair,Réunion avec PDG et co-président,2022-07-10,2022-07-12,"Gatineau, Quebec, Canada","Gatineau, Québec, Canada",0,296.04,783.04,259.4,0,1338.48,,,casdo-ocena,Accessibility Standards Canada | Normes d’accessibilité Canada
T-2023-P5-0006,SLE,Board Member,Membre du conseil d'administration,"McLaughlin, Joseph",Stakeholder meeting,Réunion des parties prenantes,2022-05-25,2022-05-25,"Vancouver, British Columbia, Canada","Vancouver, Colombie Britannique, Canada",0,49.68,0,0,,49.68,,,casdo-ocena,Accessibility Standards Canada | Normes d’accessibilité Canada
T-2023-P6-0001,SLE,Vice Chair,Vice président,"Reid, Mary",Meeting with CEO and Chair,Réunion avec PDG et Président,2022-07-03,2022-07-13,"Gatineau, Quebec, Canada","Gatineau, Québec, Canada",780.54,50,371.32,270.7,0,1472.56,,,casdo-ocena,Accessibility Standards Canada | Normes d’accessibilité Canada
T-2023-P7-0001,SLE,Chief Executive Officer,Président-directeur général,"Rizcallah, Philip",International conference on Universal Design,Conférence internationale sur la conception universelle,2022-09-01,2022-09-10,"Venice, Italy","Venise, Italie",12175.56,592.46,996.34,731.55,0,14495.91,,,casdo-ocena,Accessibility Standards Canada | Normes d’accessibilité Canada
T-2023-P7-0002,SLE,Chief Executive Officer,Président-directeur général,"Rizcallah, Philip",Presenter at International Code Conference,Présenteur à la conférence internationale des codes,2022-09-12,2022-09-14,"Louisville, Kentucky","Lousiville, Kentucky",1668.11,202.11,400.4,422.29,0,2692.91,,,casdo-ocena,Accessibility Standards Canada | Normes d’accessibilité Canada
T-2023-P7-0003,SLE,Chief Executive Officer,Président-directeur général,"Rizcallah, Philip",Board meeting,Réunion du conseil d'administration,2022-09-18,2022-09-21,"Montreal, Quebec, Canada","Montréal, Québec, Canada",0,671.27,0,418.95,0,1090.22,,,casdo-ocena,Accessibility Standards Canada | Normes d’accessibilité Canada
T-2023-P7-0004,SLE,Vice Chair,Vice président,"Reid, Mary",Board meeting,Réunion du conseil d'administration,2022-09-18,2022-09-21,"Montreal, Quebec, Canada","Montréal, Québec, Canada",670.23,106.34,0,396.8,0,1173.37,,,casdo-ocena,Accessibility Standards Canada | Normes d’accessibilité Canada
T-2023-P7-0005,SLE,Board Member,Membre du conseil d'administration,"McLaughlin, Joseph",Board meeting,Réunion du conseil d'administration,2022-09-18,2022-09-21,"Montreal, Quebec, Canada","Montréal, Québec, Canada",822.12,283.29,1067.43,418.7,0,2591.54,,,casdo-ocena,Accessibility Standards Canada | Normes d’accessibilité Canada
T-2023-P8-0001,SLE,Chief Executive Officer,Président-directeur général,"Rizcallah, Philip",Meeting with stakeholders,Réunion avec les intervenants.,2022-06-02,2022-06-05,"Halifax, Nova Scotia, Canada","Halifax, Nouvelle Ecosse, Canada",770.06,729.51,466.86,231.5,0,2197.93,,,casdo-ocena,Accessibility Standards Canada | Normes d’accessibilité Canada
T-2023-P8-0002,SLE,Board Member,Membre du conseil d'administration,"Hartin, Penny",Board meeting & APM.,Réunion du conseil d'administration & APM.,2022-09-18,2022-09-21,"Montreal, Quebec, Canada","Montréal, Québec, Canada",579.53,231.13,0,396.8,0,1207.46,,,casdo-ocena,Accessibility Standards Canada | Normes d’accessibilité Canada
T-2023-P8-0003,SLE,Board Member,Membre du conseil d'administration,"Haan, Maureen",Board meeting & APM.,Réunion du conseil d'administration & APM.,2022-09-18,2022-09-21,"Montreal, Quebec, Canada","Montréal, Québec, Canada",693.66,135,0,396.8,0,1225.46,,,casdo-ocena,Accessibility Standards Canada | Normes d’accessibilité Canada
T-2023-P9-0001,SLE,Chief Executive Officer,Président-directeur général,"Rizcallah, Philip",Intelligent Cities Summit.,Sommet ''Intelligent Cities''.,2022-11-08,2022-11-10,"Toronto, Ontario, Canada","Toronto, Ontario, Canada",591.5,246.49,0,250,0,1087.99,,,casdo-ocena,Accessibility Standards Canada | Normes d’accessibilité Canada
T-2023-P9-0002,SLE,Chief Executive Officer,Président-directeur général,"Rizcallah, Philip",NSBOA conference.,Conférence NSBOA.,2022-11-14,2022-11-16,"Halifax, Nova Scotia, Canada","Halifax, Nouvelle Écosse, Canada",331.07,180.2,50,119.75,0,681.02,,,casdo-ocena,Accessibility Standards Canada | Normes d’accessibilité Canada
T-2023-P9-0003,SLE,Chief Executive Officer,Président-directeur général,"Rizcallah, Philip",BCANDS conference.,Évènement BCANDS.,2022-11-16,2022-11-19,"Victoria, Bristish Columbia, Canada","Victoria, Colombie Britanique, Canada",1345.32,239.97,419.42,233.75,0,2238.46,,,casdo-ocena,Accessibility Standards Canada | Normes d’accessibilité Canada
T-2023-P9-0004,SLE,Board Member,Membre du conseil d'administration,"Kory, Earle",Board meeting.,Réunion du conseil d'administration.,2022-09-18,2022-09-21,"Montreal, Quebec, Canada","Montréal, Québec, Canada",279.39,13,1067.43,320.25,0,1680.07,,,casdo-ocena,Accessibility Standards Canada | Normes d’accessibilité Canada
T-2023-P9-0005,SLE,Board Member,Membre du conseil d'administration,"Kory, Earle",Board meeting.,Réunion du conseil d'administration.,2022-12-12,2022-12-15,"Toronto, Ontario, Canada","Toronto, Ontario, Canada",0,393.23,0,307.4,0,700.63,,,casdo-ocena,Accessibility Standards Canada | Normes d’accessibilité Canada
T-2023-P9-0006,SLE,Board Member,Membre du conseil d'administration,"Hartin, Penny",Board meeting.,Réunion du conseil d'administration.,2022-12-12,2022-12-15,"Toronto, Ontario, Canada","Toronto, Ontario, Canada",0,48.29,0,307.4,0,355.69,,,casdo-ocena,Accessibility Standards Canada | Normes d’accessibilité Canada
T-2023-P9-0007,SLE,Board Member,Membre du conseil d'administration,"McLaughlin, Joseph",Strategic discussion meeting.,Réunion de discussion stratégique. ,2022-11-06,2022-11-08,"Gatineau, Quebec, Canada","Gatineau, Québec, Canada",1454.37,222.54,340.58,359.25,0,2376.74,,,casdo-ocena,Accessibility Standards Canada | Normes d’accessibilité Canada
T-2023-P9-0008,SLE,Board Member,Membre du conseil d'administration,"McLaughlin, Joseph",Board meeting.,Réunion du conseil d'administration.,2022-12-09,2022-12-15,"Toronto, Ontario, Canada","Toronto, Ontario, Canada",964.17,227.76,0,387.05,0,1578.98,,,casdo-ocena,Accessibility Standards Canada | Normes d’accessibilité Canada
T-2023-P9-0009,SLE,Board Member,Membre du conseil d'administration,"Ringaert, Laurie",Board meeting and APM.,Réunion du conseil d'administration et APM.,2022-09-18,2022-09-21,"Montreal, Quebec, Canada","Montréal, Québec, Canada",872.73,139.48,0,440.85,0,1453.06,,,casdo-ocena,Accessibility Standards Canada | Normes d’accessibilité Canada
T-2023-P10-0001,SLE,Chief Executive Officer,Président-directeur général,"Rizcallah, Philip",Board meeting,Réunion du conseil d'administration.,2022-12-12,2022-12-15,"Toronto, Ontario, Canada","Toronto, Ontario, Canada",894.34,182.47,850.12,529.6,0,2456.53,,,casdo-ocena,Accessibility Standards Canada | Normes d’accessibilité Canada
T-2023-P10-0002,SLE,Chief Executive Officer,Président-directeur général,"Rizcallah, Philip",CSA group meeting,Réunion avec CSA,2023-01-11,2023-01-13,"Toronto, Ontario, Canada","Toronto, Ontario, Canada",750.83,288.89,538.24,313.4,0,1891.36,,,casdo-ocena,Accessibility Standards Canada | Normes d’accessibilité Canada
T-2023-P10-0003,SLE,Vice Chair,Vice président,"Reid, Mary",Meeting with CEO,Réunion avec directeur général,2022-11-06,2022-11-09,"Gatineau, Quebec, Canada","Gatineau, Québec, Canada",2395.31,160.18,321.32,376.55,0,3253.36,,,casdo-ocena,Accessibility Standards Canada | Normes d’accessibilité Canada
T-2023-P11-0001,SLE,Chief Executive Officer,Président-directeur général,"Rizcallah, Philip",Meeting with CNIB President,Réunion avec le président de CNIB.,2022-11-30,2022-11-30,"Ottawa, Ontario, Canada","Ottawa, Ontario, Canada",0,137.96,0,0,0,137.96,,,casdo-ocena,Accessibility Standards Canada | Normes d’accessibilité Canada
T-2023-P11-0002,SLE,Chief Executive Officer,Président-directeur général,"Rizcallah, Philip",Meetings,Rénions,2022-08-29,2022-08-29,"Ottawa, Ontario, Canada","Ottawa, Ontario, Canada",0,133.08,0,0,0,133.08,,,casdo-ocena,Accessibility Standards Canada | Normes d’accessibilité Canada
T-2023-P11-0003,SLE,Chief Executive Officer,Président-directeur général,"Rizcallah, Philip",3 meetings and a funeral,3 réunions et un funérail,2023-01-29,2023-01-31,"Toronto, Ontario, Canada","Toronto, Ontario, Canada",875.58,234.35,538.24,313.4,0,1961.57,,,casdo-ocena,Accessibility Standards Canada | Normes d’accessibilité Canada
T-2023-P11-0004,SLE,Chief Executive Officer,Président-directeur général,"Rizcallah, Philip",Board meeting,Réunion du conseil d'administration,2023-01-05,2023-01-06,"Montreal, Quebec, Canada","Montréal, Québec, Canada",0,261.37,177.31,159.85,0,598.53,,,casdo-ocena,Accessibility Standards Canada | Normes d’accessibilité Canada
T-2023-P12-0001,SLE,Chief Executive Officer,Président-directeur général,"Rizcallah, Philip",Board meeting and meeting with provincial government,Réunion avec un membre du conseil d'administration et réunion avec le gouvernement de la Nouvelle-Écosse.,2023-02-03,2023-02-10,"Ottawa, Ontario, Canada","Ottawa, Ontario, Canada",0,68.44,0,0,0,68.44,,,casdo-ocena,Accessibility Standards Canada | Normes d’accessibilité Canada
T-2023-P12-0002,SLE,Chief Executive Officer,Président-directeur général,"Rizcallah, Philip","Meetings CSA, ULSE, Trax","Réunions CSA, ULSE, Trax.",2023-02-15,2023-02-19,"Toronto, Ontario, Canada","Toronto, Ontario, Canada",706.76,262.27,701.58,359.25,0,2029.86,,,casdo-ocena,Accessibility Standards Canada | Normes d’accessibilité Canada
T-2023-P12-0003,SLE,Chair,Président,"Bérubé, Paul-Claude",Board meeting,Réunion du conseil,2023-02-21,2023-02-24,"Ottawa, Ontario, Canada","Ottawa, Ontario, Canada",837.71,182.14,948.39,387.05,0,2355.29,,,casdo-ocena,Accessibility Standards Canada | Normes d’accessibilité Canada
T-2023-P12-0004,SLE,Vice Chair,Vice-Présidente,"Reid, Mary",Board meeting,Réunion du conseil,2023-02-21,2023-02-28,"Ottawa, Ontario, Canada","Ottawa, Ontario, Canada",1411.92,78.14,772.11,409.85,0,2672.02,,,casdo-ocena,Accessibility Standards Canada | Normes d’accessibilité Canada
T-2023-P12-0005,SLE,Board of Directors,Membre du conseil de direction,"Earle, Kory",Board meeting,Réunion du conseil,2023-02-21,2023-02-24,"Ottawa, Ontario, Canada","Ottawa, Ontario, Canada",0,90,0,364,0,454,,,casdo-ocena,Accessibility Standards Canada | Normes d’accessibilité Canada
T-2023-P12-0006,SLE,Board of Directors,Membre du conseil de direction,"Earle, Kory",Board meeting,Réunion du conseil,2023-02-21,2023-02-24,"Ottawa, Ontario, Canada","Ottawa, Ontario, Canada",604.21,138.92,948.39,387.05,0,2078.57,,,casdo-ocena,Accessibility Standards Canada | Normes d’accessibilité Canada
T-2023-P12-0007,SLE,Board of Directors,Membre du conseil de direction,"McLaughlin, Joseph",Board meeting,Réunion du conseil,2023-02-21,2023-02-25,"Ottawa, Ontario, Canada","Ottawa, Ontario, Canada",1098.63,333.04,1264.52,449.95,0,3146.14,,,casdo-ocena,Accessibility Standards Canada | Normes d’accessibilité Canada
T-2023-P12-0008,SLE,Board of Directors,Membre du conseil de direction,"Haan, Maureen",Board meeting,Réunion du conseil,2023-02-21,2023-02-24,"Ottawa, Ontario, Canada","Ottawa, Ontario, Canada",765.29,215,948.39,307.4,0,2236.08,,,casdo-ocena,Accessibility Standards Canada | Normes d’accessibilité Canada
T-2023-P12-0009,SLE,Board of Directors,Membre du conseil de direction,"Adair, William",Board meeting,Réunion du conseil,2023-02-21,2023-02-24,"Ottawa, Ontario, Canada","Ottawa, Ontario, Canada",480.53,126.29,948.39,307.4,0,1862.61,,,casdo-ocena,Accessibility Standards Canada | Normes d’accessibilité Canada
T-2024-P1-0001,SLE,Chief Executive Officer,Président-directeur général,"Rizcallah, Philip",Stakeholder meetings,Réunions  avec des parties prenantes,2023-03-20,2023-03-20,"Ottawa, Ontario, Canada","Ottawa, Ontario, Canada",0,35.74,0,0,0,35.74,,,casdo-ocena,Accessibility Standards Canada | Normes d’accessibilité Canada
T-2024-P1-0002,SLE,Chair,Président,"Bérubé, Paul-Claude",Meeting with CEO and VC,Réunion avec PDG et VP,2022-11-06,2022-11-08,"Gatineau, Quebec, Canada","Gatineau, Québec, Canada",0,309.6,206.47,193.65,0,709.72,,,casdo-ocena,Accessibility Standards Canada | Normes d’accessibilité Canada
T-2024-P1-0003,SLE,Chair,Président,"Bérubé, Paul-Claude",FPT Forum,Forum FPT,2022-10-18,2022-10-19,"Gatineau, Quebec, Canada","Gatineau, Québec, Canada",0,310.8,194.57,137.05,0,642.42,,,casdo-ocena,Accessibility Standards Canada | Normes d’accessibilité Canada
T-2024-P1-0004,SLE,Chair,Président,"Bérubé, Paul-Claude",Board Meeting,Réunion du conseil d'administration,2022-09-18,2022-09-21,"Montreal, Quebec, Canada","Montréal, Québec, Canada",0,56.84,1067.43,298.1,0,1422.37,,,casdo-ocena,Accessibility Standards Canada | Normes d’accessibilité Canada
T-2024-P1-0005,SLE,Chair,Président,"Bérubé, Paul-Claude",Presentation to BoC,Présentation au BduC,2022-12-07,2022-12-07,"Ottawa, Ontario, Canada","Ottawa, Ontario, Canada",0,301.32,0,119.75,0,421.07,,,casdo-ocena,Accessibility Standards Canada | Normes d’accessibilité Canada
T-2024-P1-0006,SLE,Vice Chair,Vice-Présidente,"Reid, Mary",Board Meeting,Réunion du conseil d'administration,2022-12-11,2022-12-15,"Toronto, Ontario, Canada","Toronto, Ontario, Canada",1579.6,123.75,1123.48,529.6,0,3356.43,,,casdo-ocena,Accessibility Standards Canada | Normes d’accessibilité Canada
T-2024-P1-0007,SLE,Board of Directors,Membre du conseil de direction,"Adair, William",Board Meeting,Réunion du conseil d'administration,2022-09-18,2022-09-21,"Montreal, Quebec, Canada","Montréal, Québec, Canada",284.78,218.6,1067.43,352.5,0,1923.31,,,casdo-ocena,Accessibility Standards Canada | Normes d’accessibilité Canada
